Neighbourhood,Home Prices,Latitude,Longitude
Agincourt North,375307,43.8080383,-79.2664391
Agincourt South-Malvern West,332710,43.8080383,-79.2664391
Alderwood,504233,43.6017173,-79.5452325
Annex,993491,43.6703377,-79.407117
Banbury-Don Mills,613647,43.7348039,-79.3572426
Bathurst Manor,568877,43.76389295,-79.4563669371095
Bay Street Corridor,457787,43.6652749,-79.3875281
Bayview Village,533089,43.7691966,-79.3766617
Bayview Woods-Steeles,784397,43.7981268,-79.3829726
Bedford Park-Nortown,1191040,43.7981268,-79.3829726
Beechborough-Greenbrook,440179,43.7981268,-79.3829726
Bendale,329355,43.7535196,-79.2553355
Birchcliffe-Cliffside,522905,43.7535196,-79.2553355
Black Creek,235143,43.7413651,-79.4969622
Blake-Jones,571246,43.7413651,-79.4969622
Briar Hill-Belgravia,373937,43.7413651,-79.4969622
Bridle Path-Sunnybrook-York Mills,1849084,43.7413651,-79.4969622
Broadview North,518555,43.6839242,-79.3569642
Brookhaven-Amesbury,352428,43.6839242,-79.3569642
Cabbagetown-South St.James Town,537025,43.6839242,-79.3569642
Caledonia-Fairbank,400532,43.6988897,-79.4635961
Casa Loma,1083381,43.67811065,-79.4094082263767
Centennial Scarborough,491024,43.7874914,-79.1507681
Church-Yonge Corridor,410703,43.68126565,-79.3907753023898
Clairlea-Birchmount,387912,43.7106404,-79.2832096
Clanton Park,605585,43.7457757,-79.4405557
Cliffcrest,542218,43.7219387,-79.2362324
Corso Italia-Davenport,502819,43.6729653,-79.4406141
Danforth,585093,43.6863598,-79.3003158
Danforth-East York,518568,43.6863598,-79.3003158
Don Valley Village,478489,43.7926732,-79.3547219
Dorset Park,279189,43.7528467,-79.282067
Dovercourt-Wallace Emerson-Juncti,512789,43.7528467,-79.282067
Downsview-Roding-CFB,400486,43.7528467,-79.282067
Dufferin Grove,502736,43.6536156,-79.4263889
East End-Danforth,535867,43.6799555,-79.3385319
Edenbridge-Humber Valley,873268,43.6786234,-79.5101307
Eglinton East,274020,43.739622,-79.2322904
Elms-Old Rexdale,233832,43.7213619,-79.5655129
Englemount-Lawrence,577889,43.7098358,-79.435279
Eringate-Centennial-West Deane,423034,43.7098358,-79.435279
Etobicoke West Mall,298426,43.64355605,-79.5653288915105
Flemingdon Park,204104,43.7184315,-79.333204
Forest Hill North,957688,43.6935586,-79.4139023
Forest Hill South,1585984,43.6935586,-79.4139023
Glenfield-Jane Heights,304262,43.6935586,-79.4139023
Greenwood-Coxwell,490920,43.6935586,-79.4139023
Guildwood,444309,43.7548985,-79.1977755
Henry Farm,372110,43.7695089,-79.354296
High Park North,609689,43.64628135,-79.4638213811953
High Park-Swansea,622206,43.6455932,-79.4653195
Highland Creek,529278,43.7901172,-79.1733344
Hillcrest Village,484743,43.7996637,-79.3650189
Humber Heights-Westmount,491396,43.6869607,-79.5133431
Humber Summit,354381,43.7600778,-79.5717598
Humbermede,314721,43.7600778,-79.5717598
Humewood-Cedarvale,800442,43.7600778,-79.5717598
Ionview,330109,43.7359904,-79.2765146
Islington-City Centre West,491678,43.6487953,-79.5490002
Junction Area,532997,43.6654775,-79.470352
Keelesdale-Eglinton West,373029,43.6901578,-79.4749985
Kennedy Park,293600,43.724878,-79.2539688
Kensington-Chinatown,477989,43.6534465,-79.4002002
Kingsview Village-The Westway,292861,43.6534465,-79.4002002
Kingsway South,941223,43.6473811,-79.5113328
L'Amoreaux,355438,43.7967803,-79.3157608
Lambton Baby Point,806452,43.7967803,-79.3157608
Lansing-Westgate,646460,43.7589503,-79.4225555
Lawrence Park North,980831,43.729199,-79.4032525
Lawrence Park South,1215390,43.729199,-79.4032525
Leaside-Bennington,1071823,43.70413035,-79.3743162410781
Little Portugal,514960,43.6496309,-79.4314332
Long Branch,459088,43.5930751,-79.541212
Malvern,256488,43.8091955,-79.2217008
Maple Leaf,540741,43.7122767,-79.4901977
Markland Wood,505350,43.63123795,-79.5854368166265
Milliken,387879,43.8232173,-79.3015232
Mimico,429941,43.603656,-79.4931782
Morningside,289646,43.7826012,-79.2049579
Moss Park,457524,43.6546438,-79.3697278
Mount Dennis,273418,43.6869597,-79.4895513
Mount Olive-Silverstone-Jamestown,251119,43.6869597,-79.4895513
Mount Pleasant East,815247,43.7084166,-79.3901348
Mount Pleasant West,520032,43.7084166,-79.3901348
New Toronto,460811,43.6007625,-79.505264
