,Neighbourhood,Venue,Venue_Category,Venue_Basic_Category,Venue_Restaurant_Count,Venue_Steakhouse_Count,Venue Latitude,Venue Longitude,Neighborhood Latitude,Neighborhood Longitude
0,Agincourt North,Saravanaa Bhavan South Indian Restaurant,Indian Restaurant,Restaurant,1,0,43.81011674776289,-79.26927478027933,43.8080383,-79.2664391
1,Agincourt North,Samosa King - Embassy Restaurant,Indian Restaurant,Restaurant,1,0,43.81015178654958,-79.25731635003477,43.8080383,-79.2664391
2,Agincourt North,Booster Juice,Juice Bar,Juice,0,0,43.80991481104798,-79.26938167887475,43.8080383,-79.2664391
3,Agincourt North,Shoppers Drug Mart,Pharmacy,Pharmacy,0,0,43.80811851123266,-79.26974366257573,43.8080383,-79.2664391
4,Agincourt North,Dollarama,Discount Store,Discount,0,0,43.808889143556605,-79.26888942718506,43.8080383,-79.2664391
5,Agincourt North,The Beer Store,Beer Store,Beer,0,0,43.8092863,-79.2636758,43.8080383,-79.2664391
6,Agincourt North,Subway,Sandwich Place,Sandwich,0,0,43.80900706809853,-79.26762743677006,43.8080383,-79.2664391
7,Agincourt North,TD Canada Trust,Bank,Bank,0,0,43.80998892900833,-79.26887770118698,43.8080383,-79.2664391
8,Agincourt North,Congee Town 太皇名粥,Chinese Restaurant,Restaurant,1,0,43.80903482487377,-79.26763433869755,43.8080383,-79.2664391
9,Agincourt North,Tim Hortons,Coffee Shop,Coffee,0,0,43.8097214559678,-79.2695653438568,43.8080383,-79.2664391
10,Agincourt North,KFC,Fast Food Restaurant,Fast,0,0,43.80835723876953,-79.267822265625,43.8080383,-79.2664391
11,Agincourt North,Casa Deluz 豪門宴,Cantonese Restaurant,Restaurant,1,0,43.80895542975194,-79.26811265646485,43.8080383,-79.2664391
12,Agincourt North,Popeyes Louisiana Kitchen,Fried Chicken Joint,Fried,0,0,43.80865177635264,-79.2679286798945,43.8080383,-79.2664391
13,Agincourt North,Pizza Pizza,Pizza Place,Pizza,0,0,43.80831774036611,-79.26853687580636,43.8080383,-79.2664391
14,Agincourt North,Tim Hortons,Coffee Shop,Coffee,0,0,43.810537304435144,-79.25620727241039,43.8080383,-79.2664391
15,Agincourt North,Menchie's,Ice Cream Shop,Ice,0,0,43.80833791536094,-79.26828825119229,43.8080383,-79.2664391
16,Agincourt North,Bento Box,Japanese Restaurant,Restaurant,1,0,43.809247850827546,-79.26902935359769,43.8080383,-79.2664391
17,Agincourt North,Smokers Corner Newstand,Convenience Store,Convenience,0,0,43.808624242713506,-79.2694367295796,43.8080383,-79.2664391
18,Agincourt North,Everbest Bakery,Bakery,Bakery,0,0,43.80889916631563,-79.26962940679175,43.8080383,-79.2664391
19,Agincourt North,Woodside Cinemas,Movie Theater,Movie,0,0,43.80990026145251,-79.26952068181036,43.8080383,-79.2664391
20,Agincourt North,Baskin Robbins,Ice Cream Shop,Ice,0,0,43.80933662736696,-79.26336804150782,43.8080383,-79.2664391
21,Agincourt North,LCBO,Liquor Store,Liquor,0,0,43.808125688695895,-79.27004592050454,43.8080383,-79.2664391
22,Agincourt North,Viterna Health Centre,Spa,Spa,0,0,43.81001583057128,-79.26898531284488,43.8080383,-79.2664391
23,Agincourt North,EB Games,Video Game Store,Video,0,0,43.809619671102986,-79.2696718743426,43.8080383,-79.2664391
24,Agincourt North,Cakewood Bakery & Cafe,Bakery,Bakery,0,0,43.80986005895067,-79.26953031570356,43.8080383,-79.2664391
25,Agincourt North,SVP Sports Outlet,Sporting Goods Shop,Sporting,0,0,43.81017619950153,-79.2696127836144,43.8080383,-79.2664391
26,Agincourt North,Iroquois Park,Park,Park,0,0,43.80366643665737,-79.26798888527924,43.8080383,-79.2664391
27,Agincourt North,McDonald's,Fast Food Restaurant,Fast,0,0,43.808313563434496,-79.26746149002385,43.8080383,-79.2664391
28,Agincourt North,Richmond Park,Park,Park,0,0,43.81426376605405,-79.26377156964323,43.8080383,-79.2664391
29,Agincourt North,GTA Square Mall,Shopping Mall,Shopping,0,0,43.809702837277285,-79.25733030118475,43.8080383,-79.2664391
30,Agincourt North,Laddi's,Salon / Barbershop,Salon,0,0,43.810394711039145,-79.25750460589335,43.8080383,-79.2664391
31,Agincourt South-Malvern West,Saravanaa Bhavan South Indian Restaurant,Indian Restaurant,Restaurant,1,0,43.81011674776289,-79.26927478027933,43.8080383,-79.2664391
32,Agincourt South-Malvern West,Samosa King - Embassy Restaurant,Indian Restaurant,Restaurant,1,0,43.81015178654958,-79.25731635003477,43.8080383,-79.2664391
33,Agincourt South-Malvern West,Booster Juice,Juice Bar,Juice,0,0,43.80991481104798,-79.26938167887475,43.8080383,-79.2664391
34,Agincourt South-Malvern West,Shoppers Drug Mart,Pharmacy,Pharmacy,0,0,43.80811851123266,-79.26974366257573,43.8080383,-79.2664391
35,Agincourt South-Malvern West,Dollarama,Discount Store,Discount,0,0,43.808889143556605,-79.26888942718506,43.8080383,-79.2664391
36,Agincourt South-Malvern West,The Beer Store,Beer Store,Beer,0,0,43.8092863,-79.2636758,43.8080383,-79.2664391
37,Agincourt South-Malvern West,Subway,Sandwich Place,Sandwich,0,0,43.80900706809853,-79.26762743677006,43.8080383,-79.2664391
38,Agincourt South-Malvern West,TD Canada Trust,Bank,Bank,0,0,43.80998892900833,-79.26887770118698,43.8080383,-79.2664391
39,Agincourt South-Malvern West,Congee Town 太皇名粥,Chinese Restaurant,Restaurant,1,0,43.80903482487377,-79.26763433869755,43.8080383,-79.2664391
